"1";",";"269826";"85322,741"
"2";".";"156862";"49601,95"
"3";"a";"104458";"33031,075"
"4";"se";"63637";"20122,906"
"5";"""";"50857";"16081,692"
"6";";";"46528";"14712,802"
"7";"je";"42051";"13297,112"
"8";"to";"41532";"13132,997"
"9";"na";"34781";"10998,237"
"10";"v";"33361";"10549,213"
"11";"že";"29736";"9402,938"
"12";"-";"22708";"7180,586"
"13";":";"21777";"6886,191"
"14";"ale";"17991";"5689,005"
"15";"?";"14809";"4682,812"
"16";"s";"14644";"4630,637"
"17";"jsem";"14519";"4591,11"
"18";"jako";"14307";"4524,073"
"19";"z";"14123";"4465,889"
"20";"!";"14093";"4456,403"
"21";"tak";"13746";"4346,677"
"22";"o";"13292";"4203,116"
"23";"co";"13280";"4199,321"
"24";"si";"13111";"4145,881"
"25";"do";"12909";"4082,006"
"26";"k";"12389";"3917,574"
"27";"by";"12355";"3906,823"
"28";"i";"11267";"3562,782"
"29";"nebo";"11127";"3518,512"
"30";"za";"9905";"3132,099"
"31";"už";"9478";"2997,076"
"32";")";"8670";"2741,575"
"33";"(";"8600";"2719,44"
"34";"já";"8511";"2691,297"
"35";"jen";"8226";"2601,176"
"36";"ve";"7916";"2503,149"
"37";"jak";"7694";"2432,95"
"38";"po";"7570";"2393,739"
"39";"není";"7474";"2363,383"
"40";"pro";"7366";"2329,232"
"41";"aby";"7266";"2297,61"
"42";"jsou";"7158";"2263,459"
"43";"tu";"6854";"2167,33"
"44";"li";"6554";"2072,466"
"45";"byl";"6511";"2058,869"
"46";"když";"6249";"1976,021"
"47";"jeho";"6013";"1901,394"
"48";"ani";"5500";"1739,177"
"49";"ještě";"5479";"1732,536"
"50";"má";"5332";"1686,053"
"51";"než";"5321";"1682,574"
"52";"ten";"5155";"1630,083"
"53";"bylo";"5091";"1609,845"
"54";"toho";"4844";"1531,74"
"55";"mu";"4709";"1489,051"
"56";"něco";"4650";"1470,395"
"57";"u";"4631";"1464,387"
"58";"vám";"4535";"1434,03"
"59";"ty";"4513";"1427,073"
"60";"své";"4504";"1424,228"
"61";"tam";"4490";"1419,801"
"62";"od";"4368";"1381,222"
"63";"mi";"4259";"1346,755"
"64";"bych";"3983";"1259,48"
"65";"nás";"3926";"1241,456"
"66";"nic";"3917";"1238,61"
"67";"tím";"3888";"1229,44"
"68";"který";"3757";"1188,016"
"69";"vás";"3679";"1163,351"
"70";"snad";"3658";"1156,711"
"71";"ne";"3647";"1153,232"
"72";"jsme";"3626";"1146,592"
"73";"člověk";"3573";"1129,832"
"74";"pak";"3529";"1115,919"
"75";"mne";"3519";"1112,757"
"76";"až";"3463";"1095,049"
"77";"být";"3453";"1091,887"
"78";"tedy";"3412";"1078,922"
"79";"které";"3412";"1078,922"
"80";"tom";"3411";"1078,606"
"81";"byla";"3300";"1043,506"
"82";"řekl";"3295";"1041,925"
"83";"tomu";"3281";"1037,498"
"84";"pan";"3245";"1026,114"
"85";"bude";"3210";"1015,047"
"86";"ho";"3194";"1009,987"
"87";"jež";"3100";"980,263"
"88";"nám";"3020";"954,966"
"89";"jste";"2935";"928,088"
"90";"teď";"2904";"918,285"
"91";"ze";"2885";"912,277"
"92";"proto";"2871";"907,85"
"93";"nýbrž";"2840";"898,048"
"94";"ji";"2806";"887,296"
"95";"mně";"2804";"886,664"
"96";"pane";"2776";"877,81"
"97";"jenom";"2703";"854,726"
"98";"svou";"2698";"853,145"
"99";"ti";"2651";"838,283"
"100";"kde";"2642";"835,437"
"101";"před";"2617";"827,532"
"102";"mezi";"2533";"800,97"
"103";"ta";"2524";"798,124"
"104";"také";"2456";"776,621"
"105";"tady";"2376";"751,324"
"106";"bez";"2364";"747,53"
"107";"umění";"2352";"743,735"
"108";"měl";"2300";"727,292"
"109";"život";"2275";"719,387"
"110";"proti";"2262";"715,276"
"111";"sám";"2248";"710,849"
"112";"kdo";"2224";"703,26"
"113";"vy";"2194";"693,773"
